case_id,medium,rw,access_size_bytes,burst_count,issue_mode,address_pattern,total_subrequests,macro_min_latency_ns,macro_avg_latency_ns,macro_p50_latency_ns,macro_p95_latency_ns,macro_p99_latency_ns,macro_max_latency_ns,total_time_ns,bandwidth_GBps
241,ssd,write,512,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.00512
242,ssd,write,512,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.01024
243,ssd,write,512,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.02048
244,ssd,write,512,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,0.04096
245,ssd,write,512,32,back_to_back,contiguous,32,200000,200000,200000,200000,200000,200000,200000,0.08192
246,ssd,write,512,64,back_to_back,contiguous,64,200000,200000,200000,200000,200000,200000,200000,0.16384
247,ssd,write,512,128,back_to_back,contiguous,128,200000,300000,300000,400000,400000,400000,400000,0.16384
248,ssd,write,1024,1,back_to_back,contiguous,1,200000,200000,200000,200000,200000,200000,200000,0.00512
249,ssd,write,1024,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.01024
250,ssd,write,1024,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.02048
251,ssd,write,1024,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.04096
252,ssd,write,1024,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,0.08192
253,ssd,write,1024,32,back_to_back,contiguous,32,200000,200000,200000,200000,200000,200000,200000,0.16384
254,ssd,write,1024,64,back_to_back,contiguous,64,200000,200000,200000,200000,200000,200000,200000,0.32768
255,ssd,write,1024,128,back_to_back,contiguous,128,200000,300000,300000,400000,400000,400000,400000,0.32768
256,ssd,write,2048,1,back_to_back,contiguous,1,200000,200000,200000,200000,200000,200000,200000,0.01024
257,ssd,write,2048,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.02048
258,ssd,write,2048,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.04096
259,ssd,write,2048,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.08192
260,ssd,write,2048,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,0.16384
261,ssd,write,2048,32,back_to_back,contiguous,32,200000,200000,200000,200000,200000,200000,200000,0.32768
262,ssd,write,2048,64,back_to_back,contiguous,64,200000,200000,200000,200000,200000,200000,200000,0.65536
263,ssd,write,2048,128,back_to_back,contiguous,128,200000,300000,300000,400000,400000,400000,400000,0.65536
264,ssd,write,4096,1,back_to_back,contiguous,1,200000,200000,200000,200000,200000,200000,200000,0.02048
265,ssd,write,4096,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.04096
266,ssd,write,4096,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.08192
267,ssd,write,4096,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.16384
268,ssd,write,4096,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,0.32768
269,ssd,write,4096,32,back_to_back,contiguous,32,200000,200000,200000,200000,200000,200000,200000,0.65536
270,ssd,write,4096,64,back_to_back,contiguous,64,200000,200000,200000,200000,200000,200000,200000,1.31072
271,ssd,write,4096,128,back_to_back,contiguous,128,200000,300000,300000,400000,400000,400000,400000,1.31072
272,ssd,write,8192,1,back_to_back,contiguous,1,200000,200000,200000,200000,200000,200000,200000,0.04096
273,ssd,write,8192,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.08192
274,ssd,write,8192,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.16384
275,ssd,write,8192,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.32768
276,ssd,write,8192,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,0.65536
277,ssd,write,8192,32,back_to_back,contiguous,32,200000,200000,200000,200000,200000,200000,200000,1.31072
278,ssd,write,8192,64,back_to_back,contiguous,64,200000,300000,300000,400000,400000,400000,400000,1.31072
279,ssd,write,8192,128,back_to_back,contiguous,128,200000,500000,500000,800000,800000,800000,800000,1.31072
280,ssd,write,16384,1,back_to_back,contiguous,1,200000,200000,200000,200000,200000,200000,200000,0.08192
281,ssd,write,16384,2,back_to_back,contiguous,2,200000,200000,200000,200000,200000,200000,200000,0.16384
282,ssd,write,16384,4,back_to_back,contiguous,4,200000,200000,200000,200000,200000,200000,200000,0.32768
283,ssd,write,16384,8,back_to_back,contiguous,8,200000,200000,200000,200000,200000,200000,200000,0.65536
284,ssd,write,16384,16,back_to_back,contiguous,16,200000,200000,200000,200000,200000,200000,200000,1.31072
285,ssd,write,16384,32,back_to_back,contiguous,32,200000,300000,300000,400000,400000,400000,400000,1.31072
286,ssd,write,16384,64,back_to_back,contiguous,64,200000,500000,500000,800000,800000,800000,800000,1.31072
287,ssd,write,16384,128,back_to_back,contiguous,128,200000,900000,900000,1.6e+06,1.6e+06,1.6e+06,1.6e+06,1.31072
